https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume IOTA,Volume USDT,tradecount
1703894400000,2023-12-30,IOTAUSDT,0.2991,0.3292,0.2958,0.3222,101914794.0,32234046.7942,133309
1703808000000,2023-12-29,IOTAUSDT,0.2829,0.3168,0.2796,0.2992,83418786.0,25121183.2246,103728
1703721600000,2023-12-28,IOTAUSDT,0.2956,0.2964,0.2748,0.2828,28372752.0,8073360.3694,37340
1703635200000,2023-12-27,IOTAUSDT,0.2764,0.31,0.2662,0.2958,65303987.0,19163619.8378,83106
1703548800000,2023-12-26,IOTAUSDT,0.2904,0.2984,0.254,0.2759,47128565.0,13163716.1907,60959
1703462400000,2023-12-25,IOTAUSDT,0.2773,0.2942,0.2752,0.2902,28913760.0,8289909.1964,33184
1703376000000,2023-12-24,IOTAUSDT,0.2912,0.2935,0.2708,0.2771,29253329.0,8325479.7516,33886
1703289600000,2023-12-23,IOTAUSDT,0.2967,0.2975,0.279,0.291,26108193.0,7469356.655,29957
1703203200000,2023-12-22,IOTAUSDT,0.2837,0.2976,0.2753,0.2965,32918980.0,9396522.9209,41153
1703116800000,2023-12-21,IOTAUSDT,0.28,0.284,0.2716,0.2837,24534183.0,6813921.7665,28992
1703030400000,2023-12-20,IOTAUSDT,0.2654,0.2825,0.2594,0.2797,29849603.0,8158160.1423,32965
1702944000000,2023-12-19,IOTAUSDT,0.2721,0.2746,0.2591,0.2653,29336928.0,7846146.9234,27243
1702857600000,2023-12-18,IOTAUSDT,0.2764,0.2779,0.2501,0.272,42314229.0,11095146.9605,47201
1702771200000,2023-12-17,IOTAUSDT,0.293,0.2938,0.274,0.2761,23903492.0,6763910.7071,29278
1702684800000,2023-12-16,IOTAUSDT,0.2889,0.3004,0.2801,0.293,27371918.0,8012829.3514,32888
1702598400000,2023-12-15,IOTAUSDT,0.2931,0.3136,0.2879,0.289,67989306.0,20584239.8084,84745
1702512000000,2023-12-14,IOTAUSDT,0.2777,0.3072,0.2735,0.2931,85121929.0,25017820.6013,112237
1702425600000,2023-12-13,IOTAUSDT,0.2679,0.2824,0.2536,0.2775,63121192.0,17036484.3917,75710
1702339200000,2023-12-12,IOTAUSDT,0.2728,0.2783,0.259,0.2679,21611202.0,5778421.1081,28356
1702252800000,2023-12-11,IOTAUSDT,0.2889,0.2893,0.2412,0.2727,49865993.0,13322055.3146,59676
1702166400000,2023-12-10,IOTAUSDT,0.2887,0.2963,0.2803,0.2887,22201410.0,6382119.0897,27419
1702080000000,2023-12-09,IOTAUSDT,0.3006,0.3006,0.2858,0.2886,30395807.0,8919601.1629,56006
1701993600000,2023-12-08,IOTAUSDT,0.2948,0.3012,0.2835,0.3006,51865830.0,15049014.0853,71584
1701907200000,2023-12-07,IOTAUSDT,0.2907,0.3101,0.2824,0.2949,45505764.0,13416826.9475,68348
1701820800000,2023-12-06,IOTAUSDT,0.3174,0.333,0.2863,0.2906,69184235.0,21042864.7498,94994
1701734400000,2023-12-05,IOTAUSDT,0.3315,0.3363,0.3063,0.3172,60311554.0,19153014.5388,91121
1701648000000,2023-12-04,IOTAUSDT,0.3275,0.3698,0.3149,0.3313,123927750.0,42260604.6007,185601
1701561600000,2023-12-03,IOTAUSDT,0.3115,0.3721,0.3031,0.3279,201265767.0,67333329.0303,291249
1701475200000,2023-12-02,IOTAUSDT,0.2398,0.3296,0.2347,0.3113,305837966.0,88615413.0436,370388
1701388800000,2023-12-01,IOTAUSDT,0.2353,0.2433,0.223,0.2399,102850689.0,23929461.9006,103206
1701302400000,2023-11-30,IOTAUSDT,0.2553,0.27,0.222,0.2355,283786528.0,68153995.5013,346993
1701216000000,2023-11-29,IOTAUSDT,0.1727,0.2899,0.1715,0.2553,585135502.0,139050428.3137,640494
1701129600000,2023-11-28,IOTAUSDT,0.1711,0.1743,0.1663,0.1727,10404679.0,1775666.9555,11518
1701043200000,2023-11-27,IOTAUSDT,0.1771,0.1786,0.1672,0.1711,11671620.0,2011028.4631,14160
1700956800000,2023-11-26,IOTAUSDT,0.1811,0.1818,0.1723,0.1772,11485306.0,2049738.3872,12461
1700870400000,2023-11-25,IOTAUSDT,0.1804,0.1827,0.179,0.1812,11922489.0,2158695.5789,12267
1700784000000,2023-11-24,IOTAUSDT,0.1796,0.1835,0.1787,0.1804,15403318.0,2788750.2034,16879
1700697600000,2023-11-23,IOTAUSDT,0.1779,0.1834,0.1759,0.1795,14896073.0,2671848.5927,14499
1700611200000,2023-11-22,IOTAUSDT,0.1664,0.1798,0.1659,0.1779,11485926.0,1989934.1549,12323
1700524800000,2023-11-21,IOTAUSDT,0.1849,0.1887,0.1663,0.1665,16166072.0,2880408.5798,21289
1700438400000,2023-11-20,IOTAUSDT,0.1868,0.1883,0.1803,0.1849,12043716.0,2228921.6553,14342
1700352000000,2023-11-19,IOTAUSDT,0.18,0.1876,0.1757,0.1869,11057084.0,2025732.9722,12718
1700265600000,2023-11-18,IOTAUSDT,0.1827,0.1827,0.1715,0.18,7994872.0,1422289.5313,10263
1700179200000,2023-11-17,IOTAUSDT,0.1838,0.1881,0.1755,0.1827,14738542.0,2668204.2947,16181
1700092800000,2023-11-16,IOTAUSDT,0.1943,0.1957,0.1802,0.1836,17264005.0,3281822.2078,21663
1700006400000,2023-11-15,IOTAUSDT,0.1861,0.1946,0.1829,0.1943,16210944.0,3069820.2924,15407
1699920000000,2023-11-14,IOTAUSDT,0.188,0.1924,0.1785,0.1861,23465673.0,4353810.7663,22328
1699833600000,2023-11-13,IOTAUSDT,0.2007,0.2046,0.186,0.188,30716758.0,5953579.7723,30188
1699747200000,2023-11-12,IOTAUSDT,0.1897,0.2031,0.1852,0.2008,40637786.0,8012828.5463,36189
1699660800000,2023-11-11,IOTAUSDT,0.1848,0.1949,0.1785,0.1898,33663382.0,6365881.7415,33438
1699574400000,2023-11-10,IOTAUSDT,0.1788,0.1873,0.1731,0.1846,26301681.0,4733116.033,24934
